Project,Region,exact_allocated_emissions_kgco2,matched_input_share
i-0fe6036be47d80014,eu-3.platform.sh,4.436237074765753e-06,6.940624688891264e-11
i-035b5434be3be57b0,us-2.platform.sh,4.435391002850668e-06,6.939300984246212e-11
i-0668b1fe333527240,us-2.platform.sh,4.423122960081925e-06,6.920107266892953e-11
i-06679ec095dd45e30,eu-3.platform.sh,4.41931563646404e-06,6.914150595990217e-11
i-0f62d097aa138fea6,us-2.platform.sh,4.406201521780212e-06,6.893633173991905e-11
i-043b79c6efba1b49a,us-2.platform.sh,4.381665436242728e-06,6.855245739285386e-11
i-0b721180ab553bc0c,us-2.platform.sh,4.356049198893651e-06,6.815168374982018e-11
i-0f7875d4644632057,us-2.platform.sh,4.339361840488446e-06,6.789060507032768e-11
i-0fbf7a80c5b596c88,eu-3.platform.sh,4.338938804530904e-06,6.788398654710242e-11
i-094c132f6aeeac716,us-2.platform.sh,4.3244145699885995e-06,6.765675058303509e-11
i-00975ab3c72f6724d,eu-3.platform.sh,4.311018431333077e-06,6.744716401423513e-11
i-092b28eea57c354b9,eu-3.platform.sh,4.295225088918145e-06,6.720007248049203e-11
i-085b1db5e885b2807,eu-2.platform.sh,4.261382212314718e-06,6.667059062247107e-11
i-02efd34dcc26dd531,eu-3.platform.sh,4.227539335711292e-06,6.614110876445013e-11
i-0e3c385a86a83d92c,eu-3.platform.sh,4.1626738222213925e-06,6.512626853657663e-11
i-075ac2791344849cf,eu-2.platform.sh,4.082296990288257e-06,6.386874912377689e-11
i-0c9baef0c1fe5e20d,eu-3.platform.sh,4.077643594755286e-06,6.379594536829902e-11
i-0c209fd64465514fe,eu-3.platform.sh,4.054094593118735e-06,6.342751424209277e-11
i-0c5b5c7d6662f27fe,eu-3.platform.sh,3.911672487412651e-06,6.119927808958794e-11
i-040bd8a173cb69d6c,eu-3.platform.sh,3.908852247695699e-06,6.115515460141953e-11
i-0c3ba02fb9edb5179,eu-2.platform.sh,3.882059970384654e-06,6.073598146381962e-11
i-05a683b86cf2d275b,eu-3.platform.sh,3.879239730667701e-06,6.06918579756512e-11
i-001626d9b1cd42681,eu-2.platform.sh,3.817194456894753e-06,5.972114123594613e-11
i-0212808ae148f2813,eu-3.platform.sh,3.804503378168468e-06,5.952258553918826e-11
i-05a29ed8e6aba361b,eu-4.platform.sh,3.7974527788760875e-06,5.941227681876724e-11
