provider,SKU Description,Product category,Usage category,Total emissions kgCO2,bill_key_provider_sku,bill_key_full_grain,total_project_share_for_sku,exact_match_available,allocation_method
AWS,"$0.004 per 10,000 GET and all other requests",Uncategorized,Storage,758.277142857143,"AWS || $0.004 per 10,000 GET and all other requests","AWS || $0.004 per 10,000 GET and all other requests || Uncategorized || Storage",,False,shared_overhead
AWS,$0.05 per GB-Month of snapshot data stored - EU (Ireland),Uncategorized,Storage,750.4985714285714,AWS || $0.05 per GB-Month of snapshot data stored - EU (Ireland),AWS || $0.05 per GB-Month of snapshot data stored - EU (Ireland) || Uncategorized || Storage,,False,shared_overhead
AWS,$0.006 per used Network load balancer capacity unit-hour (or partial hour),dedicated,Other,709.2328571428571,AWS || $0.006 per used Network load balancer capacity unit-hour (or partial hour),AWS || $0.006 per used Network load balancer capacity unit-hour (or partial hour) || dedicated || Other,,False,shared_overhead
AWS,$0.3852 per On Demand Linux m6a.2xlarge Instance Hour,dedicated,Compute,682.8328571428572,AWS || $0.3852 per On Demand Linux m6a.2xlarge Instance Hour,AWS || $0.3852 per On Demand Linux m6a.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.6984 per On Demand Linux c6a.4xlarge Instance Hour,dedicated,Compute,678.5742857142857,AWS || $0.6984 per On Demand Linux c6a.4xlarge Instance Hour,AWS || $0.6984 per On Demand Linux c6a.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (Ohio),dedicated,Storage,670.7642857142857,AWS || $0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (Ohio),AWS || $0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (Ohio) || dedicated || Storage,,False,shared_overhead
AWS,$0.106 per On Demand Linux c5.large Instance Hour,dedicated,Compute,662.2628571428571,AWS || $0.106 per On Demand Linux c5.large Instance Hour,AWS || $0.106 per On Demand Linux c5.large Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.002 per GB-Month for storage used in Glacier Deep Archive in Asia Pacific (Sydney),Uncategorized,Storage,653.5414285714286,AWS || $0.002 per GB-Month for storage used in Glacier Deep Archive in Asia Pacific (Sydney),AWS || $0.002 per GB-Month for storage used in Glacier Deep Archive in Asia Pacific (Sydney) || Uncategorized || Storage,,False,shared_overhead
AWS,$1.00 per GB for the first 500 GB / month of data analyzed US East (N.Virginia) region,Uncategorized,Other,645.5428571428572,AWS || $1.00 per GB for the first 500 GB / month of data analyzed US East (N.Virginia) region,AWS || $1.00 per GB for the first 500 GB / month of data analyzed US East (N.Virginia) region || Uncategorized || Other,,False,shared_overhead
AWS,$0.55 per GB for the next 2000 GB / month of data analyzed EU (Dublin) region,Uncategorized,Other,634.7628571428571,AWS || $0.55 per GB for the next 2000 GB / month of data analyzed EU (Dublin) region,AWS || $0.55 per GB for the next 2000 GB / month of data analyzed EU (Dublin) region || Uncategorized || Other,,False,shared_overhead
AWS,$0.0057 per used Network load balancer capacity unit-hour (or partial hour),grid,Other,630.8028571428571,AWS || $0.0057 per used Network load balancer capacity unit-hour (or partial hour),AWS || $0.0057 per used Network load balancer capacity unit-hour (or partial hour) || grid || Other,,False,shared_overhead
AWS,$0.0836 per GB-month of General Purpose (gp3) provisioned storage - EU (Stockholm),grid,Storage,630.2685714285715,AWS || $0.0836 per GB-month of General Purpose (gp3) provisioned storage - EU (Stockholm),AWS || $0.0836 per GB-month of General Purpose (gp3) provisioned storage - EU (Stockholm) || grid || Storage,,False,shared_overhead
AWS,$1.10 per GB for the first 500 GB / month of data analyzed EU (Dublin) region,Uncategorized,Other,622.38,AWS || $1.10 per GB for the first 500 GB / month of data analyzed EU (Dublin) region,AWS || $1.10 per GB for the first 500 GB / month of data analyzed EU (Dublin) region || Uncategorized || Other,,False,shared_overhead
AWS,$0.053 per GB-Month of snapshot data stored,dedicated,Storage,613.91,AWS || $0.053 per GB-Month of snapshot data stored,AWS || $0.053 per GB-Month of snapshot data stored || dedicated || Storage,,False,shared_overhead
